,content
382,Exceptional
383,Best app thanks 👍
384,It was Soo fun with the new diary
385,This app is a very user friendly. You can easily design your own notes in just one click. Everything is here. I hope i can use the Pro version someday.
386,Love this app
387,Good 👍
388,I like this game and help to sharey thought with diary
389,Ok
390,What I love most about the app is the audio feature.
391,I love it it has a password you know so people don't get to your personal stuff it's really cool I would recommend it to you ❤️‍🔥
392,It was really good and I will give it 💯💯
393,It is so helpful to hide your secrets
394,La mejor
395,This app was going good but then my brother deleted it and now all my content can't come back
396,Kinda cheap than buying diaries
397,This app is incredible. I started using it only today and I'm already considering getting the full thing. There's so much functionality and I'm blown away that there is a voice recording option too to make things even more personal. Love it 💖
398,🌼😗
399,Ff
